Task,Millis,FSR 3,system_cal ,theta_comp ,Shoulder X,Shoulder Y,Elbow X,Elbow
lifting,16119,14,89.67,29.77,1.39,-35.06,-13.48,45
lifting,16130,12,89.66,29.76,1.39,-35.06,-13.48,45
lifting,16140,16,89.65,29.65,1.39,-35.06,-13.48,45
lifting,16150,15,89.66,29.59,1.39,-35.06,-13.48,45
lifting,16160,12,89.69,29.48,1.39,-35.06,-13.48,45
lifting,16171,13,89.74,29.95,1.39,-35.06,-13.48,45
lifting,16181,15,89.78,30.53,1.39,-35.06,-13.48,45
lifting,16190,14,89.79,30.64,1.39,-35.06,-13.48,45
lifting,16200,15,89.78,30.76,1.39,-35.06,-13.48,46
lifting,16210,12,89.80,31.50,1.39,-35.06,-12.91,46
lifting,16221,11,89.83,32.41,1.39,-35.06,-12.91,46
lifting,16232,14,89.88,33.30,1.39,-35.06,-12.91,46
lifting,16242,16,89.93,34.43,1.39,-35.06,-12.25,46
lifting,16252,13,90.01,36.65,1.39,-35.06,-12.25,46
lifting,16263,11,90.16,41.46,1.39,-35.06,-12.25,41
lifting,16275,14,90.35,44.74,1.39,-35.06,-11.52,43
lifting,16287,21,90.47,47.00,0.80,-35.06,-11.02,47
lifting,16299,28,90.56,49.05,0.80,-36.04,-10.45,46
lifting,16309,27,90.65,51.43,0.80,-35.38,-10.45,46
lifting,16319,28,90.76,54.59,0.80,-35.38,-9.79,46
lifting,16328,31,90.84,57.53,0.80,-35.38,-9.79,46
lifting,16338,39,90.89,59.99,0.25,-37.15,-9.79,47
lifting,16349,44,90.92,62.08,0.25,-43.34,-9.79,47
lifting,16359,42,91.01,66.65,0.25,-35.02,-11.69,47
lifting,16369,41,91.08,58.09,0.25,-34.35,-17.77,47
lifting,16379,45,91.08,61.73,-0.28,-35.17,-9.24,47
lifting,16390,45,91.08,63.73,-0.28,-35.17,-9.24,47
lifting,16400,48,91.04,64.26,-0.28,-35.17,-9.24,47
lifting,16410,49,91.02,65.17,-0.28,-35.17,-8.48,47
lifting,16419,51,91.00,65.91,-0.28,-35.17,-8.48,47
lifting,16430,46,91.01,67.20,-0.28,-35.17,-8.48,47
lifting,16440,50,90.99,68.21,-0.28,-35.73,-8.48,47
lifting,16450,51,90.96,69.34,-0.28,-35.73,-8.48,47
lifting,16460,50,90.97,72.07,-0.28,-35.73,-8.48,47
lifting,16471,47,90.99,74.13,-0.28,-35.73,-8.48,47
lifting,16481,40,90.99,76.24,-0.28,-35.73,-8.48,46
lifting,16492,40,90.99,78.31,-0.28,-35.73,-8.48,46
lifting,16502,39,90.99,80.51,-0.28,-35.73,-8.48,45
lifting,16513,32,90.99,83.12,-0.28,-35.73,-8.48,45
lifting,16525,26,90.99,85.67,-0.28,-36.26,-8.48,45
lifting,16537,22,90.99,87.92,-0.28,-36.26,-8.48,45
lifting,16548,22,90.99,90.64,-0.28,-36.26,-8.48,45
lifting,16559,23,90.99,92.49,-0.28,-36.26,-8.48,45
lifting,16569,21,90.99,93.39,-0.28,-36.26,-8.48,44
lifting,16579,7,90.99,94.32,-0.28,-36.26,-10.77,44
lifting,16589,10,90.99,95.20,-0.28,-36.26,-18.57,43
lifting,16600,4,90.99,96.38,-0.28,-36.26,-16.51,43
lifting,16609,6,90.99,98.70,-0.28,-36.26,-8.43,43
lifting,16619,3,90.99,101.00,-0.28,-36.26,-8.43,43
lifting,16629,3,90.99,103.07,-0.28,-36.26,-8.43,43
lifting,16640,6,90.99,105.34,-0.28,-36.26,-8.43,43
